id,org_id,type,title,content,importance,expected_derivability,expected_score_range,department,tokens_full,tokens_delta,non_derivable_portion
PN-D-01,supra,FACT,What is a Febrile Seizure,"A febrile seizure is a convulsion in young children triggered by a high fever, typically occurring between 6 months and 5 years of age. Most are benign and self-limiting.",0.30,DERIVABLE,0.85-0.94,pediatrics,48,0,
PN-D-02,supra,FACT,Glasgow Coma Scale,"The Glasgow Coma Scale assesses level of consciousness using eye, verbal, and motor responses, scored from 3 to 15. Lower scores indicate more severe impairment.",0.35,DERIVABLE,0.85-0.93,neurology,46,0,
PN-D-03,supra,FACT,What is Epilepsy,"Epilepsy is a chronic neurological disorder characterized by recurrent unprovoked seizures caused by abnormal electrical activity in the brain.",0.35,DERIVABLE,0.87-0.95,neurology,40,0,
PN-D-04,supra,FACT,Pediatric Vital Sign Ranges,"Normal pediatric vital signs vary by age. Infants: heart rate 100-160 bpm, respiratory rate 30-60/min. Toddlers: heart rate 90-150 bpm. Values move toward adult ranges with age.",0.30,DERIVABLE,0.88-0.96,pediatrics,52,0,
PN-D-05,supra,FACT,What is Migraine,"Migraine is a primary headache disorder featuring recurrent moderate-to-severe headaches, often unilateral and pulsating, sometimes accompanied by aura, nausea, and photophobia.",0.30,DERIVABLE,0.86-0.94,neurology,46,0,
PN-N-01,supra,DECISION,Supra Pediatric Antibiotic Policy,"Supra Pediatrics uses Amoxicillin-clavulanate as first-line treatment for acute otitis media. Decision by Dr. Anjali Rao, March 2025. Avoid in penicillin-allergic children.",0.85,NON_DERIVABLE,0.02-0.10,pediatrics,58,,
PN-N-02,supra,CONSTRAINT,Patient Aarav Live Vaccine Hold,"ABSOLUTE: Hold all live vaccines for patient Aarav (immunocompromised, post-chemotherapy). MMR and varicella are contraindicated until cleared by oncology. 2 deferrals documented.",0.98,NON_DERIVABLE,0.01-0.05,pediatrics,60,,
PN-N-03,supra,DECISION,EEG Machine Standard,"Supra Neurology standardized on Natus EEG systems in both labs. Decision based on a 3-year reliability review by Dr. Anjali Rao in 2024.",0.70,NON_DERIVABLE,0.02-0.08,neurology,52,,
PN-N-04,supra,FACT,Pediatric Ward Capacity,"Supra Pediatric Ward: 35 beds total, with 10 NICU, 8 PICU, and 17 general. Occupancy runs at 88%. Monsoon peak reaches 100%+, activating the dengue overflow protocol.",0.55,NON_DERIVABLE,0.05-0.15,pediatrics,55,,
PN-N-05,supra,DECISION,Neurology Budget 2026,"FY 2026 Neurology budget: Rs 3.1 Cr. MRI and EEG 40%, Staffing 30%, Drugs 18%, Training 12%. New EMG unit approved in Q3.",0.68,NON_DERIVABLE,0.01-0.05,neurology,50,,
PN-E-01,supra,CONSTRAINT,Febrile Seizure Management,"Febrile seizures lasting under 5 minutes need no acute medication. Supra protocol: rectal or buccal midazolam if longer than 5 minutes, mandatory paediatric review, and a parent education leaflet issued.",0.88,PARTIALLY_DERIVABLE,0.40-0.58,pediatrics,74,22,"Supra protocol: rectal/buccal midazolam if >5 min; mandatory paediatric review; parent education leaflet."
PN-E-02,supra,DECISION,Status Epilepticus Protocol,"Status epilepticus is treated with a benzodiazepine first-line, then levetiracetam or phenytoin. Supra uses levetiracetam as second-line and auto-alerts the neurology team at 10 minutes.",0.85,PARTIALLY_DERIVABLE,0.40-0.55,neurology,68,18,"Supra: levetiracetam as second-line; auto-alert neurology at 10 minutes."
PN-E-03,supra,CONSTRAINT,Pediatric Weight-Based Dosing Safety,"All pediatric drug doses are calculated by weight in mg/kg and double-checked by two nurses. Supra incident 2024: a tenfold dosing near-miss prompted mandatory independent verification.",0.93,PARTIALLY_DERIVABLE,0.35-0.50,pediatrics,70,20,"Supra incident 2024: tenfold dosing near-miss; mandatory independent verification."
PN-E-04,supra,ANTI_PATTERN,Abrupt Antiepileptic Withdrawal,"Do NOT stop antiepileptic drugs abruptly due to the risk of breakthrough seizures and status epilepticus. Supra past incident: readmission after self-discontinuation. Taper gradually over weeks.",0.88,PARTIALLY_DERIVABLE,0.35-0.50,neurology,66,18,"Supra past incident: readmission after self-discontinuation."
PN-E-05,supra,CONSTRAINT,Pediatric Head Injury Imaging,"Use the PECARN criteria to decide on CT in pediatric head injury, minimizing radiation exposure. Supra threshold: senior sign-off is required before any pediatric CT, and this is audited monthly.",0.86,PARTIALLY_DERIVABLE,0.45-0.60,pediatrics,68,18,"Supra threshold: senior sign-off before any pediatric CT; audited monthly."
